Epoch ,Era,Duration,Legacy,Notes
First Epoch,Lost Era,564,FALSE,History was erased by the Awakening of the null
First Epoch,Era of Destruction,2,FALSE,"Creation of the Forsaken Land of Gods after ""Their"" battle."
First Epoch,Era of Carnage,414,FALSE,Pathways lost in the madness which stain the lands and seas with blood
Second Epoch,Sprouting Era,1268,FALSE,Other ancient gods emerged from the ashes.
Second Epoch,Early Era of Fire,462,FALSE,Eight ancient Gods ruled the lands for a short period of time before they turned on each other
Second Epoch,Dual Era,230,FALSE,Two Gods remained; the Giants and the Dragons
Second Epoch,Era of Tranquility,365,FALSE,Temporary peace was upheld during this time.
Second Epoch,Dawn Era,236,FALSE,"The entity before the ancient gods emerged and took ""their"" power which led to humanity as the dominant race."
Third Epoch,Glorious Era,1086,FALSE,Ancient Sun God was taken down by the newer Gods and they declared themselves as the orthodox gods
Fourth Epoch,Warring Era,112,FALSE,The fall of the Ancient Sun God cause others crave for more power and various conflicts for power
Fourth Epoch,Solomon Empire,284,FALSE,"With the division between the Gods Solomon established ""his"" Empire"
Fourth Epoch,Tudor-Trunsoest United Empire,114,FALSE,The six gods supported the Tudor and Trunsoest Empire to bring down the Solomon Empire
Fourth Epoch,Second Solomon Empire,537,FALSE,The unexpected revival of Solomon split the two empires into three and shook the continet once again
Fourth Epoch,War of the Four Emperors,5,FALSE,Due to a sinister plot by one of the emperors it brought all the emperors including from the southern continet to a warring period
Fourth Epoch,Conflicts of the Seven Gods,157,FALSE,Orthodox Gods unable to believe one and another allied with their most trustworthy and fought each other
Fourth Epoch,Pale Era,23,TRUE,"The seven gods heavily injured and the astral barrier of the world fractured which caused them to move to their ""Divine Kingdoms"" to mend the cracks."
